1 | iniciante | continuo | Adaptação Articular e Transição Run-Walk 1:1
2 | iniciante | continuo | Base Aeróbia Leve Run-Walk 2:1
3 | iniciante | continuo | Evolução Contínua Run-Walk 3:1
4 | iniciante | continuo | Iniciação de Volume Run-Walk 4:1
5 | iniciante | longo | Longão Introdutório: Tempo em Pé (35 min)
6 | iniciante | regenerativo | Regenerativo Ativo de Estabilização
7 | iniciante | fartlek | Fartlek Lúdico de Adaptação
8 | iniciante | continuo | Corrida Aeróbia Contínua 15 Minutos
9 | iniciante | hill_repeats | Iniciação em Subidas Leves (Hill Adapts)
10 | iniciante | longo | Longão Aeróbio com Pausas Estratégicas (40 min)
11 | iniciante | continuo | Corrida Contínua Progressiva 20 Minutos
12 | iniciante | fartlek | Fartlek Piramidal Leve
13 | iniciante | intervalado | Intervalado Curto de Iniciação (Tiros Leves)
14 | iniciante | regenerativo | Regenerativo de Cadência Controlada
15 | iniciante | longo | Marco de Resistência: Primeiro Longão Contínuo (30 min)
16 | iniciante | continuo | Corrida Aeróbia de Estabilidade 25 Minutos
17 | iniciante | tempo_run | Iniciação ao Limiar Aeróbico (Tempo Run Leve)
18 | iniciante | hill_repeats | Repetições de Subida Moderadas (Hill Power)
19 | iniciante | fartlek | Fartlek Queniano de Iniciação
20 | iniciante | longo | Longão Progressivo Leve de 40 Minutos
21 | iniciante | continuo | Corrida Aeróbia Constante 35 Minutos
22 | iniciante | intervalado | Intervalado de 400 metros (Ritmo Controlado)
23 | iniciante | regenerativo | Regenerativo com Reta de Aceleração (Strides)
24 | iniciante | tempo_run | Tempo Run Fracionado (2x8 min)
25 | iniciante | longo | Longão Aeróbio de Consolidação (50 min)
26 | iniciante | continuo | Corrida Aeróbia com Variação de Terreno
27 | iniciante | fartlek | Fartlek Misto de Fim de Ciclo
28 | iniciante | intervalado | Intervalado Crescente (200m - 400m - 600m)
29 | iniciante | regenerativo | Regenerativo de Polimento (Tapering Leve)
30 | iniciante | longo | Longão de Formatura: Primeira Hora Contínua (60 min)
31 | intermediario | continuo | Base Aeróbia Consolidada 45 Minutos
32 | intermediario | tempo_run | Tempo Run Contínuo no Limiar de Lactato (20 min)
33 | intermediario | intervalado | Intervalado de VO2 Moderado (6x600m)
34 | intermediario | regenerativo | Regenerativo Ativo + Strides Técnicos
35 | intermediario | longo | Longão Aeróbio Puro de Construção (70 min)
36 | intermediario | fartlek | Fartlek Piramidal de Intensidade (1-2-3-2-1)
37 | intermediario | tempo_run | Cruise Intervals no Limiar (3x10 min)
38 | intermediario | hill_repeats | Hill Repeats de Força Explosiva (10x45 seg)
39 | intermediario | continuo | Corrida Aeróbia Extensa 55 Minutos
40 | intermediario | longo | Longão Fast Finish — Finalização Forte (80 min)
41 | intermediario | intervalado | Intervalado de 800m (Pacing Clássico de 10k)
